"Date","Price","Open","High","Low","Change %"
"07/17/2013","12.935","12.935","12.935","12.935","2.23%"
"07/16/2013","12.653","12.653","12.653","12.653","-1.36%"
"07/15/2013","12.827","12.827","12.827","12.827","0.00%"
"07/12/2013","12.827","12.827","12.827","12.827","0.00%"
"07/11/2013","12.827","12.827","12.827","12.827","-4.94%"
"07/10/2013","13.494","13.494","13.494","13.494","0.00%"
"07/09/2013","13.494","13.494","13.494","13.494","0.00%"
"07/08/2013","13.494","13.494","13.494","13.494","0.00%"
"07/05/2013","13.494","13.494","13.494","13.494","0.00%"
"07/04/2013","13.494","13.494","13.494","13.494","0.00%"
"07/03/2013","13.494","13.494","13.494","13.494","0.00%"
"07/02/2013","13.494","13.494","13.494","13.494","1.13%"
"07/01/2013","13.343","13.343","13.343","13.343","0.00%"
"06/28/2013","13.343","13.343","13.343","13.343","0.00%"
"06/27/2013","13.343","13.343","13.343","13.343","0.00%"
"06/26/2013","13.343","13.343","13.343","13.343","0.00%"
"06/25/2013","13.343","13.343","13.343","13.343","-4.47%"
"06/24/2013","13.968","13.968","13.968","13.968","0.00%"
"06/23/2013","13.968","13.968","13.968","13.968","0.00%"
"06/21/2013","13.968","13.968","13.968","13.968","-1.08%"
"06/20/2013","14.120","14.120","14.120","14.120","1.09%"
"06/19/2013","13.968","13.968","13.968","13.968","0.00%"
"06/18/2013","13.968","13.968","13.968","13.968","0.00%"
"06/17/2013","13.968","13.968","13.968","13.968","0.00%"
"06/16/2013","13.968","13.968","13.968","13.968","0.00%"
"06/14/2013","13.968","13.968","13.968","13.968","-0.26%"
"06/13/2013","14.005","14.005","14.005","14.005","2.77%"
"06/12/2013","13.627","13.627","13.627","13.627","0.00%"
"06/11/2013","13.627","13.627","13.627","13.627","0.00%"
"06/10/2013","13.627","13.627","13.627","13.627","-1.49%"
"06/08/2013","13.833","13.833","13.833","13.833","0.00%"
"06/07/2013","13.833","13.833","13.833","13.833","0.00%"
"06/06/2013","13.833","13.833","13.833","13.833","0.00%"
"06/05/2013","13.833","13.833","13.833","13.833","0.00%"
"06/04/2013","13.833","13.833","13.833","13.833","0.00%"
"06/03/2013","13.833","13.833","13.833","13.833","0.00%"
"05/31/2013","13.833","13.833","13.833","13.833","0.00%"
"05/30/2013","13.833","13.833","13.833","13.833","0.00%"
"05/29/2013","13.833","13.833","13.833","13.833","-2.24%"
"05/28/2013","14.150","14.150","14.150","14.150","0.00%"
"05/27/2013","14.150","14.150","14.150","14.150","7.70%"
"05/24/2013","13.138","13.138","13.138","13.138","-7.15%"
"05/23/2013","14.150","14.150","14.150","14.150","7.70%"
"05/22/2013","13.138","13.138","13.138","13.138","-7.15%"
"05/21/2013","14.150","14.150","14.150","14.150","7.36%"
"05/20/2013","13.180","13.180","13.180","13.180","0.00%"
"05/17/2013","13.180","13.180","13.180","13.180","0.00%"
"05/16/2013","13.180","13.180","13.180","13.180","0.00%"
"05/15/2013","13.180","13.180","13.180","13.180","0.00%"
"05/14/2013","13.180","13.180","13.180","13.180","0.00%"
"05/13/2013","13.180","13.180","13.180","13.180","0.00%"
"05/10/2013","13.180","13.180","13.180","13.180","0.00%"
"05/09/2013","13.180","13.180","13.180","13.180","0.00%"
"05/08/2013","13.180","13.180","13.180","13.180","0.00%"
"05/07/2013","13.180","13.180","13.180","13.180","0.68%"
"05/03/2013","13.091","13.091","13.091","13.091","0.00%"
"05/02/2013","13.091","13.091","13.091","13.091","0.00%"
"04/30/2013","13.091","13.091","13.091","13.091","0.00%"
"04/29/2013","13.091","13.091","13.091","13.091","0.00%"
"04/26/2013","13.091","13.091","13.091","13.091","0.00%"
"04/24/2013","13.091","13.091","13.091","13.091","-1.57%"
"04/23/2013","13.300","13.300","13.300","13.300","0.00%"
"04/22/2013","13.300","13.300","13.300","13.300","0.00%"
"04/19/2013","13.300","13.300","13.300","13.300","0.00%"
"04/18/2013","13.300","13.300","13.300","13.300","0.00%"
"04/17/2013","13.300","13.300","13.300","13.300","0.00%"
"04/16/2013","13.300","13.300","13.300","13.300","0.00%"
"04/15/2013","13.300","13.300","13.300","13.300","0.00%"
"04/12/2013","13.300","13.300","13.300","13.300","-4.66%"
"04/11/2013","13.950","13.950","13.950","13.950","0.00%"
"04/10/2013","13.950","13.950","13.950","13.950","0.00%"
"04/09/2013","13.950","13.950","13.950","13.950","4.89%"
"04/08/2013","13.300","13.300","13.300","13.300","1.92%"
"04/05/2013","13.050","13.050","13.050","13.050","0.00%"
"04/04/2013","13.050","13.050","13.050","13.050","0.00%"
"04/03/2013","13.050","13.050","13.050","13.050","0.00%"
"04/02/2013","13.050","13.050","13.050","13.050","0.00%"
"04/01/2013","13.050","13.050","13.050","13.050","0.00%"
"03/29/2013","13.050","13.050","13.050","13.050","0.00%"
"03/28/2013","13.050","13.050","13.050","13.050","-0.61%"
"03/27/2013","13.130","13.130","13.130","13.130","0.61%"
"03/26/2013","13.050","13.050","13.050","13.050","0.00%"
"03/25/2013","13.050","13.050","13.050","13.050","0.00%"
"03/22/2013","13.050","13.050","13.050","13.050","0.00%"
"03/21/2013","13.050","13.050","13.050","13.050","0.00%"
"03/20/2013","13.050","13.050","13.050","13.050","0.00%"
"03/19/2013","13.050","13.050","13.050","13.050","0.00%"
"03/18/2013","13.050","13.050","13.050","13.050","0.00%"
"03/15/2013","13.050","13.050","13.050","13.050","0.00%"
"03/14/2013","13.050","13.050","13.050","13.050","0.00%"
"03/13/2013","13.050","13.050","13.050","13.050","0.00%"
"03/12/2013","13.050","13.050","13.050","13.050","0.00%"
"03/11/2013","13.050","13.050","13.050","13.050","0.00%"
"03/08/2013","13.050","13.050","13.050","13.050","0.00%"
"03/07/2013","13.050","13.050","13.050","13.050","0.00%"
"03/06/2013","13.050","13.050","13.050","13.050","0.00%"
"03/05/2013","13.050","13.050","13.050","13.050","2.59%"
"03/04/2013","12.720","12.720","12.720","12.720","0.00%"
"03/01/2013","12.720","12.720","12.720","12.720","0.00%"
"02/28/2013","12.720","12.720","12.720","12.720","0.00%"
"02/27/2013","12.720","12.720","12.720","12.720","-2.15%"
"02/26/2013","13.000","13.000","13.000","13.000","0.00%"
"02/25/2013","13.000","13.000","13.000","13.000","0.00%"
"02/22/2013","13.000","13.000","13.000","13.000","0.00%"
"02/21/2013","13.000","13.000","13.000","13.000","0.00%"
"02/20/2013","13.000","13.000","13.000","13.000","0.00%"
"02/19/2013","13.000","13.000","13.000","13.000","0.00%"
"02/18/2013","13.000","13.000","13.000","13.000","0.00%"
"02/15/2013","13.000","13.000","13.000","13.000","0.00%"
"02/14/2013","13.000","13.000","13.000","13.000","0.00%"
"02/13/2013","13.000","13.000","13.000","13.000","0.00%"
"02/12/2013","13.000","13.000","13.000","13.000","0.00%"
"02/11/2013","13.000","13.000","13.000","13.000","0.00%"
"02/08/2013","13.000","13.000","13.000","13.000","0.00%"
"02/07/2013","13.000","13.000","13.000","13.000","0.00%"
"02/06/2013","13.000","13.000","13.000","13.000","0.00%"
"02/05/2013","13.000","13.000","13.000","13.000","0.00%"
"02/04/2013","13.000","13.000","13.000","13.000","0.00%"
"02/01/2013","13.000","13.000","13.000","13.000","0.00%"
"01/31/2013","13.000","13.000","13.000","13.000","0.00%"
"01/30/2013","13.000","13.000","13.000","13.000","0.00%"
"01/29/2013","13.000","13.000","13.000","13.000","0.00%"
"01/28/2013","13.000","13.000","13.000","13.000","-2.62%"
"01/22/2013","13.350","13.350","13.350","13.350","0.00%"
